episode,score,accumulated_reward
847,32,185.6936281069663
848,33,229.81802886737324
849,58,382.4212515156552
850,38,265.5877192098049
851,45,319.1643852514094
852,22,140.27250563177853
853,23,165.72358524594796
854,34,228.63118522886973
855,31,157.95071274927315
856,46,301.6460786795631
857,19,97.34241506741634
858,42,266.2781461937923
859,23,136.1245794217003
860,72,487.6454993117692
861,16,100.65115891235243
862,40,289.87090699486885
863,56,390.43879681323625
864,49,334.6108526372773
865,26,168.8104247590313
866,56,332.4055479505481
867,39,220.42913082693678
868,36,243.96314538426665
869,53,297.11431128428916
870,43,282.2938716801942
871,46,325.4346674672307
872,40,268.9771575994733
873,79,527.3861981806187
874,33,207.98820745976965
875,33,219.78550917701196
876,17,88.3219973910092
877,50,316.44464834196253
878,17,110.09860783243508
879,72,487.53916736898594
880,56,391.86575748975775
881,65,456.81590698873805
882,39,229.62847587644032
883,23,167.46071436187432
884,26,184.59724440900422
885,55,292.9834000201538
886,32,203.01822780939602
887,46,323.7013337636075
888,31,195.52936231380951
889,22,143.3882434598136
890,30,200.33186773643408
891,50,329.429848305246
892,13,75.63682718788345
893,28,162.0331697772673
894,15,91.19509416239801
895,42,252.15200146487467
896,34,199.81307970018642
897,56,399.2202323585548
898,66,449.27056361070186
899,20,137.5527399873359
900,42,300.6544455410823
901,27,189.1677016826626
902,34,187.17896468432536
903,42,298.20247448187007
904,36,247.54297593309377
905,47,348.63994948921913
906,49,348.9522383991725
907,22,164.75262564529783
908,53,362.6381096714978
909,24,137.97377735267034
910,24,152.0952714007514
911,44,293.61833549052074
912,36,260.07692457738233
913,63,379.51243586710007
914,38,243.26192093562307
915,47,317.59947717068644
916,31,191.9735084448887
917,47,299.1824389629856
918,41,267.69291391859224
919,49,322.3710563817762
920,68,473.5680847577126
921,58,393.8871986551818
922,23,105.5446569518237
923,22,124.80282611543433
924,45,303.4672070540116
925,53,356.56703042203776
926,31,193.77528274221058
927,29,193.38129737268451
928,61,400.03321078367827
929,27,184.94019135402496
